id,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_era_1,artist_era_2,artist_origin_1,artist_origin_2,artist_origin_3,artist_origin_4,artist_type_1,artist_type_2,genre_1,genre_2,genre_3,gnid,mood_1,mood_2,tempo_1,tempo_2,tempo_3
4z8sz6E4YyFuEkv5o7IJni,"Mary, Did You Know?",Pentatonix,0.49700000000000005,0.312,11,-9.088,0,0.0269,0.302,0.0,0.0968,0.177,105.036,203373,4,2010s,Mid 2010s,North America,United States,California,Los Angeles,Mixed,Mixed Group,Pop,Western Pop,Other Pop,458351190-226194426D5E80C8F174AD8704023981,Melancholy,Sad / Soulful,Medium Tempo,Medium Slow,50s
66734KtSl0IFT4NrU3A1Ie,I Saw Mommy Kissing Santa Claus,Jessica Simpson,0.659,0.495,10,-7.063,1,0.0268,0.0767,0.0,0.105,0.503,136.179,186600,4,2000s,,North America,United States,Texas,,Female,Female,Pop,Western Pop,Dance Pop,69030844-55E0EF17DD593F06F056FB046DA42825,Sensual,Soft Soulful,Slow Tempo,Very Slow,30s
5TN42y2ut6ATB0IDEEgQay,It's Beginning to Look a Lot Like Christmas,Noah Cyrus,0.735,0.237,4,-8.827,1,0.0396,0.8340000000000001,0.0,0.0901,0.508,94.14399999999999,179113,4,2010s,Late 2010s,North America,United States,Tennessee,Nashville,Female,Female,Other,Children's,General Children's Music,752045580-17E1A25A914BDCD076590F0998EE637C,Sophisticated,Smoky / Romantic,Slow Tempo,Slow,40s
3mj6prXmzqkj3PA3lg5ySK,Snowman,Sia,0.716,0.512,1,-6.257000000000001,1,0.0331,0.483,0.0,0.0928,0.326,104.95700000000001,165907,3,2010s,,Australia/Oceania,Australia,South Australia,Adelaide,Female,Female,Alternative & Punk,Indie Rock,Post-Modern Electronic Pop,756920671-58555241D6F7E44B5C00753C5067A723,Sophisticated,Smoky / Romantic,Slow Tempo,Very Slow,30s
67ysoHKWwlQXSaqxefj0Ey,Let It Snow,Gwen Stefani,0.498,0.862,11,-4.098,1,0.0642,0.301,0.0,0.16,0.593,119.186,133973,4,2000s,Mid 2000s,North America,United States,California,Orange County,Female,Female,Pop,Western Pop,Dance Pop,746884580-F4385DBFED72E2D6F3D2A56A10C386A2,Empowering,Dramatic Emotion,Medium Tempo,Medium Slow,50s
6IlSF6Y2fCqM9DJoDe5VHB,Santa Baby,Ariana Grande,0.716,0.7829999999999999,7,-5.744,1,0.222,0.0535,0.0,0.304,0.779,95.992,171507,4,2010s,Early 2010s,North America,United States,Florida,,Female,Female Duo,Pop,Western Pop,Teen Pop,482963426-58256D124F92FA9D6EE3A4E55152CC97,Sensual,Intimate,Slow Tempo,Slow,40s
0u0TlASkQWH2bGIZRu0HLh,Dance of the Sugar Plum Fairy,Pentatonix,0.41200000000000003,0.371,1,-10.24,0,0.0335,0.115,0.079,0.33399999999999996,0.48200000000000004,149.876,126893,4,2010s,Mid 2010s,North America,United States,California,Los Angeles,Mixed,Mixed Group,Pop,Western Pop,Other Pop,458351191-C77E91111E565B41CF399FF58149AE72,Urgent,Energetic Anxious,Fast Tempo,Fast,150s
4BppML63JiHfQJ7UBmeqGL,Last Christmas,Stanaj,0.441,0.414,10,-4.0760000000000005,1,0.0348,0.8109999999999999,0.0,0.17600000000000002,0.433,108.01100000000001,145947,4,2010s,Mid 2010s,North America,United States,New York,,Male,Male,Pop,Western Pop,Urban Crossover: Pop,758362814-B8D2BBFE34EB36F243B6BD55675A0A7A,,,,,
2OQ6a4CfUeYskpTTgyawyJ,You Make It Feel Like Christmas (feat. Blake Shelton),Gwen Stefani,0.635,0.879,5,-4.2,1,0.0372,0.0118,0.0,0.124,0.91,92.991,156773,4,2000s,Mid 2000s,North America,United States,California,Orange County,Female,Female,Pop,Western Pop,Dance Pop,743896639-AF5F82F08927BD3C96812F71C01923C0,Yearning,Sensitive / Exploring,Medium Tempo,Medium Fast,90s
7fm8o4z742K808YlH4xrfI,Have Yourself A Merry Little Christmas,Nathan Sykes,0.46,0.0923,0,-13.425999999999998,1,0.0504,0.919,1.09e-05,0.10099999999999999,0.19,118.08200000000001,193627,5,2010s,Early 2010s,Western Europe,United Kingdom,England,,Male,Male,Pop,Western Pop,Teen Pop,676057516-69F4FBBB9C39C7111290D6913497D9CF,Melancholy,Sad / Soulful,Medium Tempo,Medium Slow,60s
3OfiRybgoMcTtEFKuvyx0r,I'll Be Home For Christmas,Pentatonix,0.61,0.495,8,-6.906000000000001,1,0.0308,0.0981,0.0,0.121,0.479,112.961,207560,3,2010s,Mid 2010s,North America,United States,California,Los Angeles,Mixed,Mixed Group,Pop,Western Pop,Other Pop,665466343-C8FFD879742C10A896DDEE20EAD0F01E,Brooding,Dreamy Brooding,Medium Tempo,Medium,70s
0dLDH4y6YynzR0lxbHhufm,The Christmas Song - Holiday Remix,Christina Aguilera,0.619,0.8270000000000001,4,-6.316,0,0.0416,0.039,1.82e-05,0.0679,0.547,130.024,241400,4,2000s,,North America,United States,New York,New York City,Female,Female,Pop,Western Pop,Dance Pop,14243017-2B2350E826AD28B4E5A2EC6F27D859A6,Excited,Upbeat Pop Groove,Fast Tempo,Fast,130s
0zXjeGMMe7esPTvqJCN5d8,Winter Wonderland,Jason Mraz,0.627,0.354,5,-6.582999999999999,1,0.0568,0.767,0.0,0.138,0.65,69.086,127080,4,2000s,,North America,United States,Virginia,,Male,Male,Pop,Western Pop,Adult Alternative Pop,172918829-5B5E317EACD606B34C7AE7506E5CC7A8,Easygoing,Friendly,Medium Tempo,Medium,70s
6Zztw1ERHqXAngHE8PfO6N,Christmas Eve,Justin Bieber,0.41,0.5379999999999999,6,-10.475,0,0.0725,0.7240000000000001,0.0,0.19,0.327,129.369,223613,4,2010s,,North America,Canada,Ontario,,Male,Male,Pop,Western Pop,Urban Crossover: Pop,252988011-549BC3CBE34ED0DDC8AA2E4A48A68BBC,Sophisticated,Smoky / Romantic,Medium Tempo,Medium,60s
1htvQortjxd77bL4TIlvQg,Blue Christmas,The Lumineers,0.664,0.223,1,-8.306000000000001,1,0.0301,0.753,1.82e-05,0.115,0.252,102.823,182703,3,2010s,Early 2010s,North America,United States,Colorado,Denver,Mixed,Mixed Group,Alternative & Punk,Alternative Folk,Alternative Folk,672092961-C012D265A468865E00F9920BF77A9E96,Romantic,Sweet / Sincere,Medium Tempo,Medium Slow,50s
7bTxH0EbMwhJ0ISY0M2Yce,Underneath The Mistletoe,Sia,0.601,0.688,5,-5.51,1,0.0322,0.0134,0.0,0.115,0.507,123.945,230187,4,2010s,,Australia/Oceania,Australia,South Australia,Adelaide,Female,Female,Alternative & Punk,Indie Rock,Post-Modern Electronic Pop,757926841-232E39144E4A4DF889B920EB84BDDD78,Sensual,Intimate,Medium Tempo,Medium Slow,60s
4mOPMSyc9tQsiB4BWFshbQ,Kiss Me at Midnight,*NSYNC,0.706,0.948,9,-4.199,1,0.0318,0.0173,6.87e-05,0.256,0.88,118.021,211187,4,2000s,Early 2000s,North America,United States,Florida,Orlando,Male,Male Group,Pop,Western Pop,Teen Boy Band,3072700-20BFC737ED09443275304099DA3857A4,Excited,Upbeat Pop Groove,Medium Tempo,Medium Fast,110s
2NuBmpSF7QrpD6s9jlobzg,Christmas Time Again,Ashanti,0.701,0.37799999999999995,1,-7.693,1,0.0279,0.42,0.0,0.0461,0.321,90.985,244720,4,2000s,,North America,United States,New York,,Female,Female,Urban,Contemporary R&B/Soul,Urban Crossover,49543594-BB3E0CB8685AD4D64598EE42087836DD,Sensual,Soft Soulful,Slow Tempo,Slow,40s
